epoch,accuracy,loss,val_accuracy,val_loss
0,0.0,3.7049286365509033,0.05000000074505806,3.6811306476593018
1,0.02142857201397419,3.6889538764953613,0.05000000074505806,3.6782920360565186
2,0.04642857238650322,3.6721737384796143,0.02500000037252903,3.6751487255096436
3,0.01785714365541935,3.676985740661621,0.07500000298023224,3.669184923171997
4,0.03928571566939354,3.659735918045044,0.07500000298023224,3.660191297531128
5,0.06785714626312256,3.647247791290283,0.15000000596046448,3.6420204639434814
6,0.04285714402794838,3.6288247108459473,0.20000000298023224,3.611326217651367
7,0.06428571790456772,3.591125011444092,0.20000000298023224,3.5642306804656982
8,0.05000000074505806,3.5279247760772705,0.125,3.482724666595459
9,0.08214285969734192,3.4458072185516357,0.20000000298023224,3.33659291267395
10,0.15357142686843872,3.331773281097412,0.30000001192092896,3.1295132637023926
11,0.21071428060531616,3.0926082134246826,0.375,2.8666672706604004
12,0.18571428954601288,2.8380846977233887,0.4749999940395355,2.4726414680480957
13,0.25357142090797424,2.6206066608428955,0.6499999761581421,2.2086594104766846
14,0.37142857909202576,2.3216488361358643,0.75,1.8418420553207397
15,0.4000000059604645,2.0340428352355957,0.824999988079071,1.5425611734390259
16,0.5392857193946838,1.8402475118637085,0.7749999761581421,1.3406671285629272
17,0.5464285612106323,1.5268292427062988,0.8500000238418579,1.0595344305038452
18,0.6607142686843872,1.3171192407608032,0.875,0.8845275640487671
19,0.7250000238418579,1.0039198398590088,0.8500000238418579,0.7018803954124451
20,0.7142857313156128,0.9969065189361572,0.949999988079071,0.604259729385376
21,0.7535714507102966,0.8813936710357666,0.949999988079071,0.5180267095565796
22,0.7892857193946838,0.7776543498039246,0.949999988079071,0.4147217869758606
23,0.7928571701049805,0.6910775303840637,0.925000011920929,0.37525033950805664
24,0.824999988079071,0.5793349146842957,0.949999988079071,0.3603026270866394
25,0.8464285731315613,0.5649514198303223,0.949999988079071,0.31742796301841736
26,0.875,0.4363937973976135,0.949999988079071,0.24904277920722961
27,0.9071428775787354,0.3719867765903473,0.9750000238418579,0.21817192435264587
28,0.9107142686843872,0.3351949453353882,0.9750000238418579,0.1549513041973114
29,0.925000011920929,0.2644874155521393,0.949999988079071,0.22962164878845215
30,0.9035714268684387,0.31492090225219727,0.949999988079071,0.18774673342704773
31,0.9321428537368774,0.23002085089683533,0.9750000238418579,0.14860986173152924
32,0.9464285969734192,0.21381941437721252,0.9750000238418579,0.13384075462818146
33,0.9428571462631226,0.1734742522239685,0.9750000238418579,0.1056438684463501
34,0.9392856955528259,0.18813899159431458,0.9750000238418579,0.17315497994422913
35,0.9464285969734192,0.2092280089855194,0.949999988079071,0.14004386961460114
36,0.9642857313156128,0.13261808454990387,0.949999988079071,0.13945981860160828
37,0.9607142806053162,0.12091034650802612,0.9750000238418579,0.13661640882492065
38,0.9714285731315613,0.1332925260066986,0.925000011920929,0.11719904094934464
39,0.9821428656578064,0.10679610073566437,0.949999988079071,0.10191531479358673
40,0.9785714149475098,0.09900151938199997,0.9750000238418579,0.11129869520664215
41,0.9821428656578064,0.07511907815933228,0.9750000238418579,0.07168211787939072
42,0.9785714149475098,0.08749224990606308,1.0,0.04398127645254135
43,0.9785714149475098,0.06444128602743149,0.9750000238418579,0.0797332227230072
44,0.9678571224212646,0.1020052433013916,0.9750000238418579,0.12830206751823425
45,0.9785714149475098,0.06490350514650345,0.949999988079071,0.12694182991981506
46,0.9821428656578064,0.069058857858181,0.9750000238418579,0.0742027536034584
47,0.9857142567634583,0.0704926997423172,0.9750000238418579,0.10523106902837753
48,0.9678571224212646,0.07083868235349655,0.9750000238418579,0.0962420254945755
49,0.9785714149475098,0.07539881020784378,0.949999988079071,0.11845164000988007
